Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Gradient Boosting,0.9487179487179487,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9931034482758622,0.9198581560283688,0.04797598446890144
Extra Trees,0.9487179487179487,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9896551724137932,0.9492021276595745,0.0437368618312164
AdaBoost,0.9230769230769231,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.9620689655172413,0.936613475177305,0.02250097103460484
Random Forest,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9793103448275862,0.940868794326241,0.0274959929130836
XGBoost,0.8974358974358975,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9793103448275862,0.949468085106383,0.04071842384894602
KNN,0.8974358974358975,1.0,0.8620689655172413,0.9259259259259259,0.9827586206896551,0.9364361702127659,0.026918257295489356
Decision Tree,0.8974358974358975,0.9629629629629629,0.896551724137931,0.9285714285714286,0.8982758620689655,0.8647163120567376,0.053602431502167154
SVM (Linear),0.7948717948717948,0.9565217391304348,0.7586206896551724,0.8461538461538461,0.9034482758620691,0.8688829787234041,0.03531930915113622
SVM (RBF),0.7948717948717948,0.92,0.7931034482758621,0.8518518518518519,0.9448275862068966,0.8646276595744681,0.03836061645128253
Logistic Regression,0.7435897435897436,0.9130434782608695,0.7241379310344828,0.8076923076923077,0.9241379310344828,0.8477836879432624,0.041585101998358395
Naive Bayes,0.6410256410256411,0.9411764705882353,0.5517241379310345,0.6956521739130435,0.8482758620689654,0.762677304964539,0.05782670334140659
